v2	-Ix(U1:S)
Step Information: V1=-5  (Run: 1/76)
0.000000000000000e+000	-1.250000e-009
1.000000000000000e+000	-1.000000e-009
2.000000000000000e+000	-7.500000e-010
3.000000000000000e+000	-5.000000e-010
4.000000000000000e+000	-2.500000e-010
5.000000000000000e+000	9.903579e-019
6.000000000000000e+000	2.500000e-010
7.000000000000000e+000	5.000000e-010
8.000000000000000e+000	7.500000e-010
9.000000000000000e+000	1.000000e-009
1.000000000000000e+001	1.250000e-009
1.100000000000000e+001	1.500000e-009
1.200000000000000e+001	1.750000e-009
1.300000000000000e+001	2.000000e-009
1.400000000000000e+001	2.250000e-009
1.500000000000000e+001	2.500000e-009
1.600000000000000e+001	2.750000e-009
1.700000000000000e+001	3.000000e-009
1.800000000000000e+001	3.250000e-009
1.900000000000000e+001	3.500000e-009
2.000000000000000e+001	3.750000e-009
2.100000000000000e+001	4.000000e-009
2.200000000000000e+001	4.250000e-009
2.300000000000000e+001	4.500000e-009
2.400000000000000e+001	4.750000e-009
2.500000000000000e+001	5.000000e-009
2.600000000000000e+001	5.250000e-009
2.700000000000000e+001	5.500000e-009
2.800000000000000e+001	5.750000e-009
2.900000000000000e+001	6.000000e-009
3.000000000000000e+001	6.250000e-009
3.100000000000000e+001	6.500000e-009
3.200000000000000e+001	6.750000e-009
3.300000000000000e+001	7.000000e-009
3.400000000000000e+001	7.250000e-009
3.500000000000000e+001	7.500000e-009
3.600000000000000e+001	7.750000e-009
3.700000000000000e+001	8.000000e-009
3.800000000000000e+001	8.250000e-009
3.900000000000000e+001	8.500000e-009
4.000000000000000e+001	8.750000e-009
4.100000000000000e+001	9.000000e-009
4.200000000000000e+001	9.250000e-009
4.300000000000000e+001	9.500000e-009
4.400000000000000e+001	9.750000e-009
4.500000000000000e+001	1.000000e-008
4.600000000000000e+001	1.025000e-008
4.700000000000000e+001	1.050000e-008
4.800000000000000e+001	1.075000e-008
4.900000000000000e+001	1.100000e-008
5.000000000000000e+001	1.125000e-008
5.100000000000000e+001	1.150000e-008
5.200000000000000e+001	1.175000e-008
5.300000000000000e+001	1.200000e-008
5.400000000000000e+001	1.225000e-008
5.500000000000000e+001	1.250000e-008
5.600000000000000e+001	1.275000e-008
5.700000000000000e+001	1.300000e-008
5.800000000000000e+001	1.325000e-008
5.900000000000000e+001	1.350000e-008
6.000000000000000e+001	1.375000e-008
6.100000000000000e+001	1.400000e-008
6.200000000000000e+001	1.425000e-008
6.300000000000000e+001	1.450000e-008
6.400000000000000e+001	1.475000e-008
6.500000000000000e+001	1.500000e-008
6.600000000000000e+001	1.525000e-008
6.700000000000000e+001	1.550000e-008
6.800000000000000e+001	1.575000e-008
6.900000000000000e+001	1.600000e-008
7.000000000000000e+001	1.625000e-008
7.100000000000000e+001	1.650000e-008
7.200000000000000e+001	1.675000e-008
7.300000000000000e+001	1.700000e-008
7.400000000000000e+001	1.725000e-008
7.500000000000000e+001	1.750000e-008
7.600000000000000e+001	1.775000e-008
7.700000000000000e+001	1.800000e-008
7.800000000000000e+001	1.825000e-008
7.900000000000000e+001	1.850000e-008
8.000000000000000e+001	1.875000e-008
8.100000000000000e+001	1.900000e-008
8.200000000000000e+001	1.925000e-008
8.300000000000000e+001	1.950000e-008
8.400000000000000e+001	1.975000e-008
8.500000000000000e+001	2.000000e-008
8.600000000000000e+001	2.025000e-008
8.700000000000000e+001	2.050000e-008
8.800000000000000e+001	2.075000e-008
8.900000000000000e+001	2.100000e-008
9.000000000000000e+001	2.125000e-008
9.100000000000000e+001	2.150000e-008
9.200000000000000e+001	2.175000e-008
9.300000000000000e+001	2.200000e-008
9.400000000000000e+001	2.225000e-008
9.500000000000000e+001	2.250000e-008
9.600000000000000e+001	2.275000e-008
9.700000000000000e+001	2.300000e-008
9.800000000000000e+001	2.325000e-008
9.900000000000000e+001	2.350000e-008
1.000000000000000e+002	2.375000e-008
1.010000000000000e+002	2.400000e-008
1.020000000000000e+002	2.425000e-008
1.030000000000000e+002	2.450000e-008
1.040000000000000e+002	2.475000e-008
1.050000000000000e+002	2.500000e-008
1.060000000000000e+002	2.525000e-008
1.070000000000000e+002	2.550000e-008
1.080000000000000e+002	2.575000e-008
1.090000000000000e+002	2.600000e-008
1.100000000000000e+002	2.625000e-008
1.110000000000000e+002	2.650000e-008
1.120000000000000e+002	2.675000e-008
1.130000000000000e+002	2.700000e-008
1.140000000000000e+002	2.725000e-008
1.150000000000000e+002	2.750000e-008
1.160000000000000e+002	2.775000e-008
1.170000000000000e+002	2.800000e-008
1.180000000000000e+002	2.825000e-008
1.190000000000000e+002	2.850000e-008
1.200000000000000e+002	2.875000e-008
1.210000000000000e+002	2.900000e-008
1.220000000000000e+002	2.925000e-008
1.230000000000000e+002	2.950000e-008
1.240000000000000e+002	2.975000e-008
1.250000000000000e+002	3.000000e-008
1.260000000000000e+002	3.025000e-008
1.270000000000000e+002	3.050000e-008
1.280000000000000e+002	3.075000e-008
1.290000000000000e+002	3.100000e-008
1.300000000000000e+002	3.125000e-008
1.310000000000000e+002	3.150000e-008
1.320000000000000e+002	3.175000e-008
1.330000000000000e+002	3.200000e-008
1.340000000000000e+002	3.225000e-008
1.350000000000000e+002	3.250000e-008
1.360000000000000e+002	3.275000e-008
1.370000000000000e+002	3.300000e-008
1.380000000000000e+002	3.325000e-008
1.390000000000000e+002	3.350000e-008
1.400000000000000e+002	3.375000e-008
1.410000000000000e+002	3.400000e-008
1.420000000000000e+002	3.425000e-008
1.430000000000000e+002	3.450000e-008
1.440000000000000e+002	3.475000e-008
1.450000000000000e+002	3.500000e-008
1.460000000000000e+002	3.525000e-008
1.470000000000000e+002	3.550000e-008
1.480000000000000e+002	3.575000e-008
1.490000000000000e+002	3.600000e-008
1.500000000000000e+002	3.625000e-008
1.510000000000000e+002	3.650000e-008
1.520000000000000e+002	3.675000e-008
1.530000000000000e+002	3.700000e-008
1.540000000000000e+002	3.725000e-008
1.550000000000000e+002	3.750000e-008
1.560000000000000e+002	3.775000e-008
1.570000000000000e+002	3.800000e-008
1.580000000000000e+002	3.825000e-008
1.590000000000000e+002	3.850000e-008
1.600000000000000e+002	3.875000e-008
1.610000000000000e+002	3.900000e-008
1.620000000000000e+002	3.925000e-008
1.630000000000000e+002	3.950000e-008
1.640000000000000e+002	3.975000e-008
1.650000000000000e+002	4.000000e-008
1.660000000000000e+002	4.025000e-008
1.670000000000000e+002	4.050000e-008
1.680000000000000e+002	4.075000e-008
1.690000000000000e+002	4.100000e-008
1.700000000000000e+002	4.125000e-008
1.710000000000000e+002	4.150000e-008
1.720000000000000e+002	4.175000e-008
1.730000000000000e+002	4.200000e-008
1.740000000000000e+002	4.225000e-008
1.750000000000000e+002	4.250000e-008
1.760000000000000e+002	4.275000e-008
1.770000000000000e+002	4.300000e-008
1.780000000000000e+002	4.325000e-008
1.790000000000000e+002	4.350000e-008
1.800000000000000e+002	4.375000e-008
1.810000000000000e+002	4.400000e-008
1.820000000000000e+002	4.425000e-008
1.830000000000000e+002	4.450000e-008
1.840000000000000e+002	4.475000e-008
1.850000000000000e+002	4.500000e-008
1.860000000000000e+002	4.525000e-008
1.870000000000000e+002	4.550000e-008
1.880000000000000e+002	4.575000e-008
1.890000000000000e+002	4.600000e-008
1.900000000000000e+002	4.625000e-008
1.910000000000000e+002	4.650000e-008
1.920000000000000e+002	4.675000e-008
1.930000000000000e+002	4.700000e-008
1.940000000000000e+002	4.725000e-008
1.950000000000000e+002	4.750000e-008
1.960000000000000e+002	4.775000e-008
1.970000000000000e+002	4.800000e-008
1.980000000000000e+002	4.825000e-008
1.990000000000000e+002	4.850000e-008
2.000000000000000e+002	4.875000e-008
Step Information: V1=-4.8  (Run: 2/76)
0.000000000000000e+000	-1.200000e-009
1.000000000000000e+000	-9.500000e-010
2.000000000000000e+000	-7.000000e-010
